,Longitude,Latitude,geometry,index_right,pointid,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Exists?
79,49.126886,-12.933605,POINT (49.126886 -12.93360500000029),7251,101,261,271,243,1647,419,14,107,1080,48,765,53,99,69,1215,326,183,143,269,244,1
80,49.1637,-12.6365,POINT (49.16370000000001 -12.63649999999998),7298,58,206,220,186,1367,312,15,96,821,63,821,76,98,74,1398,268,136,132,220,193,1
81,49.1667,-12.2167,POINT (49.1667 -12.21670000000038),7338,21,256,268,238,1179,322,11,109,793,47,777,53,80,68,1207,312,195,117,267,243,1
82,49.2307,-18.5897,POINT (49.2307 -18.58970000000013),4148,3269,240,264,212,2949,502,85,47,1260,350,1260,519,77,58,2086,303,172,131,264,233,1
83,49.3664,-12.4055,POINT (49.3664 -12.40550000000023),7326,35,259,272,241,1186,320,12,108,786,51,780,56,83,68,1236,318,197,121,270,246,1
84,49.3833,-18.1667,POINT (49.3833 -18.16669999999988),4464,2956,240,264,213,3195,474,103,41,1257,383,1080,582,72,57,2070,302,176,126,264,233,1
85,49.4,-16.908333,POINT (49.4 -16.90833300000016),5500,1912,224,249,197,2429,361,72,49,1056,279,1056,364,85,63,2111,291,158,133,249,217,1
86,49.47597,-17.8151,POINT (49.47597 -17.81509999999998),4788,2633,240,265,212,3002,428,97,41,1181,365,1181,521,77,59,2115,304,175,129,265,231,1
87,49.478056,-14.576111,POINT (49.47805600000001 -14.57611100000038),6837,532,208,231,177,1729,331,39,75,911,149,911,155,118,70,2154,288,121,167,231,186,1
89,49.6167,-15.5667,POINT (49.61669999999999 -15.5667000000003),6400,987,241,265,214,2959,415,73,46,1178,292,1178,482,84,63,2048,309,176,133,265,233,1
90,49.6203,-15.2057,POINT (49.6203 -15.20569999999986),6567,810,236,260,207,2691,380,68,49,1122,273,1122,417,90,64,2081,306,167,139,260,227,1
91,49.718333,-13.437611,POINT (49.718333 -13.43761099999963),7173,196,224,241,201,1430,257,29,74,749,121,749,123,102,72,1602,288,147,141,241,209,1
92,49.72443,-16.74956,POINT (49.72443 -16.74955999999988),5633,1787,240,263,214,3065,430,87,43,1201,330,1193,537,70,59,1946,300,182,118,259,232,1
93,49.733333,-14.566666,POINT (49.73333300000001 -14.56666600000034),6840,535,203,226,172,1748,307,49,65,858,182,858,201,112,69,2149,282,120,162,226,180,1
94,49.7667,-16.1667,POINT (49.7667 -16.16669999999998),6017,1400,244,267,218,2513,363,91,45,1039,304,1039,419,81,61,1945,309,178,131,267,236,1
95,49.7846,-16.4299,POINT (49.78459999999999 -16.42990000000029),5826,1594,225,249,198,2525,366,77,46,1047,285,1047,418,78,60,2061,290,162,128,249,216,1
96,49.95,-15.3333,POINT (49.95 -15.33330000000007),6487,902,234,258,207,2878,384,77,42,1103,305,1058,524,80,62,2020,301,172,129,255,225,1
97,49.998556,-13.622889,POINT (49.998556 -13.62288900000001),7137,243,252,269,230,1497,224,54,44,624,224,603,239,82,67,1575,309,188,121,268,236,1
99,50.233333,-15.308333,POINT (50.233333 -15.30833299999991),6533,860,231,253,204,2485,326,75,39,931,291,909,462,81,62,1937,296,167,129,250,220,1
